"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Regulatory / Activated CD4 T cells","Myeloid cells","NAMPT","ITGA5_ITGB1",0.0532401233551757,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Classical Monocytes","Naive B cells","LGALS9","PTPRC",0.0532115445365776,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"C1Q+ Monocytes","Naive B cells","HLA-B","CD8A",0.0531633954602573,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","Naive CD4 T cells","APP","CD74",0.0531237092240937,0.02,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Conventional Dendritic Cells","Monocytes","HLA-DMB","CD4",0.0530457557555374,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","Naive B cells","HLA-C","CD8A",0.0529429518061859,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Monocytes","CD99","PILRA",0.0529377612198588,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Gamma-delta Cytotoxic T cells","NK cells","FCER2","ITGAM_ITGB2",0.0529340517051395,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Naive CD4 T cells","NK cells","HLA-C","KIR2DS4",0.0529131187909881,0,"HLA-C_KIR2DS4","HLA-C - KIR2DS4","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive B cells","NK-like cells","CLEC2B","KLRB1",0.0528790030307533,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"C1Q+ Monocytes","NK-like cells","HLA-E","CD94:NKG2E",0.052827065086352,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK cells","Myeloid cells","CD99","PILRA",0.0527883544313433,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"C1Q+ Monocytes","Naive B cells","NAMPT","ITGA5_ITGB1",0.0527259372604261,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Platelets","Conventional Dendritic Cells","CD99","PILRA",0.0526853222216977,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Monocytes","Classical Monocytes","TGFB1","TGFbR1_R2",0.0526608350962444,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C1Q+ Monocytes","Regulatory / Activated CD4 T cells","HLA-DRA","CD4",0.0525467548585214,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","NK-like cells","TGFB1","TGFbR1_R2",0.0524541377054067,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"NK cells","NK-like cells","TGFB1","TGFbR1_R2",0.0524479337066535,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Naive B cells","Myeloid cells","CD99","PILRA",0.0523426882384615,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Monocytes","Classical Monocytes","HLA-DRB1","CD4",0.0522506758098802,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","NK cells","HLA-E","CD94:NKG2C",0.0522375247967342,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive CD4 T cells","NK-like cells","CLEC2D","KLRB1",0.0522262596492275,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"NK cells","C1Q+ Monocytes","HLA-F","LILRB1",0.0521890949452285,0,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","Classical Monocytes","CD99","PILRA",0.0521253020982616,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Classical Monocytes","NK cells","LGALS9","PTPRC",0.0520828358952208,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Platelets","Gamma-delta Cytotoxic T cells","TGFB1","TGFbR1_R2",0.052074190696578,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"C1Q+ Monocytes","Conventional Dendritic Cells","NAMPT","ITGA5_ITGB1",0.052002594426917,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Myeloid cells","NK cells","HLA-E","CD94:NKG2E",0.051969994022991,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","Naive B cells","HLA-A","CD8A",0.0519473671124195,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","Monocytes","HLA-DPA1","CD4",0.0519338311380751,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Naive B cells","HLA-E","CD94:NKG2E",0.0518655357732569,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Monocytes","HLA-DQB1","CD4",0.0518557392724336,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Naive B cells","HLA-A","CD8A",0.0516994706554808,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Plasma cells","LGALS9","CD44",0.0516480685974124,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Regulatory / Activated CD4 T cells","Naive B cells","HLA-B","CD8A",0.0515247149761969,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Naive B cells","HLA-B","CD8A",0.0514074253051371,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","Platelets","THBS1","CD36",0.0512028049780169,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"Gamma-delta Cytotoxic T cells","Conventional Dendritic Cells","HLA-DQA1","CD4",0.0511256931014232,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","NK-like cells","LGALS9","CD44",0.0510739928468997,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Classical Monocytes","NK cells","THBS1","CD47",0.0510671343102889,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Platelets","Naive B cells","HLA-E","CD8B",0.0510659504161455,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Naive CD4 T cells","NK-like cells","CD69","KLRB1",0.0510439596874794,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Monocytes","Naive B cells","LGALS9","CD44",0.0510209389762199,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"MAIT / CD161-like T cells","Myeloid cells","NAMPT","ITGA5_ITGB1",0.0510134331398735,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Monocytes","Plasma cells","THBS1","CD47",0.051003059211437,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Myeloid cells","Naive CD4 T cells","THBS1","CD47",0.0509473896115908,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Platelets","NK-like cells","APP","CD74",0.0509363346354178,0.03,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"MAIT / CD161-like T cells","Naive B cells","HLA-C","CD8A",0.0508938573074793,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Naive B cells","HLA-E","CD94:NKG2C",0.050722252372348,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Platelets","Naive CD4 T cells","HLA-E","CD8B",0.0506570531005598,0,"HLA-E_CD8B","HLA-E - CD8B","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Monocytes","CD99","PILRA",0.0506466273039449,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"MAIT / CD161-like T cells","Conventional Dendritic Cells","TGFB1","TGFbR1_R2",0.0506151537352226,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Naive B cells","NK cells","ITGB2","CD226",0.0505550573650593,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Platelets","ITGB2","CD226",0.0504985976050287,0,"ITGB2_CD226","ITGB2 - CD226","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","Regulatory / Activated CD4 T cells","ALCAM","CD6",0.0503707020917566,0,"ALCAM_CD6","ALCAM - CD6","ALCAM","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","Conventional Dendritic Cells","CD6","ALCAM",0.0503707020917566,0,"CD6_ALCAM","CD6 - ALCAM","CD6","Cell-Cell Contact","PMID: 23602662"
"NK-like cells","NK-like cells","TGFB1","TGFbR1_R2",0.0503547889302937,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Myeloid cells","C1Q+ Monocytes","PECAM1","PECAM1",0.0503525256943497,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","Myeloid cells","PECAM1","PECAM1",0.0503525256943497,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Classical Monocytes","HLA-DRB1","CD4",0.0502803422926869,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Conventional Dendritic Cells","HLA-DRA","CD4",0.0502011748963895,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","NK-like cells","HLA-E","CD94:NKG2E",0.0498910066043282,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Myeloid cells","Naive B cells","APP","CD74",0.0498772881107449,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Gamma-delta Cytotoxic T cells","Classical Monocytes","FCER2","ITGAM_ITGB2",0.049857483668005,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Naive B cells","Naive B cells","HLA-A","CD8A",0.0498471743931664,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","NK-like cells","TGFB1","TGFbR1_R2",0.0498120609252756,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Gamma-delta Cytotoxic T cells","Naive B cells","HLA-E","CD94:NKG2C",0.0497898540080852,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Regulatory / Activated CD4 T cells","NK-like cells","CLEC2D","KLRB1",0.04970669438093,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Plasma cells","NK cells","CLEC2D","KLRB1",0.0496121163626342,0,"CLEC2D_KLRB1","CLEC2D - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Monocytes","C1Q+ Monocytes","HLA-DPA1","CD4",0.0495188650220797,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","C1Q+ Monocytes","THBS1","CD47",0.0495062699952351,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Plasma cells","Naive B cells","HLA-B","CD8A",0.0494336693201048,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Naive B cells","NAMPT","ITGA5_ITGB1",0.0493986719555861,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Conventional Dendritic Cells","Naive B cells","HLA-B","CD8A",0.0493965052893464,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","MAIT / CD161-like T cells","HLA-B","CD8A",0.0493883263388917,0,"HLA-B_CD8A","HLA-B - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","NK cells","HLA-E","CD94:NKG2C",0.0493526079776448,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Naive CD4 T cells","NK cells","HLA-E","CD94:NKG2C",0.049247067613161,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","Conventional Dendritic Cells","HLA-DRB1","CD4",0.0492365159050625,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Naive B cells","NK-like cells","HLA-E","CD94:NKG2C",0.0492065817140473,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Conventional Dendritic Cells","NK-like cells","LGALS9","CD44",0.049148593042358,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Myeloid cells","MAIT / CD161-like T cells","HLA-C","CD8A",0.049042652132547,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Gamma-delta Cytotoxic T cells","THBS1","CD47",0.048817439253743,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Naive B cells","Monocytes","ANXA1","FPR1",0.0487795888590517,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Monocytes","Conventional Dendritic Cells","NAMPT","ITGA5_ITGB1",0.0487186279893585,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"MAIT / CD161-like T cells","Regulatory / Activated CD4 T cells","CCL5","CCR4",0.0486868184277205,0,"CCL5_CCR4","CCL5 - CCR4","CCL","Secreted Signaling","KEGG: hsa04060"
"Platelets","Monocytes","PECAM1","PECAM1",0.0486291464116793,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Platelets","PECAM1","PECAM1",0.0486291464116793,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","Naive B cells","TGFB1","TGFbR1_R2",0.0485944217112036,0,"TGFB1_TGFBR1_TGFBR2","TGFB1 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Classical Monocytes","MAIT / CD161-like T cells","LGALS9","PTPRC",0.0485647274748678,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Platelets","Naive CD4 T cells","HLA-E","KLRK1",0.0485435128916023,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Plasma cells","Regulatory / Activated CD4 T cells","HLA-DPB1","CD4",0.0485222128540753,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","NK-like cells","HLA-E","CD94:NKG2C",0.0484806980249864,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"C1Q+ Monocytes","Classical Monocytes","HLA-DRA","CD4",0.0484141107947981,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","Naive B cells","HLA-A","CD8A",0.0484030712019334,0,"HLA-A_CD8A","HLA-A - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Naive B cells","HLA-E","CD94:NKG2C",0.048391114427641,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Plasma cells","NK-like cells","CD69","KLRB1",0.0483553762536536,0,"CLEC2C_KLRB1","CLEC2C - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Classical Monocytes","Regulatory / Activated CD4 T cells","LGALS9","PTPRC",0.048338036016039,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Regulatory / Activated CD4 T cells","NK-like cells","HLA-E","CD94:NKG2E",0.048299412857596,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","Regulatory / Activated CD4 T cells","THBS1","CD47",0.0480219109995561,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Platelets","Classical Monocytes","PECAM1","PECAM1",0.0479310056555389,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Platelets","PECAM1","PECAM1",0.0479310056555389,0,"PECAM1_PECAM1","PECAM1 - PECAM1","PECAM1","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Classical Monocytes","TGFB1","ACVR1B_TGFbR2",0.0477476803172569,0,"TGFB1_ACVR1B_TGFBR2","TGFB1 - (ACVR1B+TGFBR2)","TGFb","Secreted Signaling","PMID: 27449815"
"Classical Monocytes","Myeloid cells","LGALS9","CD44",0.0477380059127675,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Monocytes","Naive B cells","HLA-C","CD8A",0.0477242570304132,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","Naive B cells","APP","CD74",0.0476152678398479,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Myeloid cells","Conventional Dendritic Cells","THBS1","CD36",0.0475671532766416,0,"THBS1_CD36","THBS1 - CD36","THBS","ECM-Receptor","KEGG: hsa04512"
"NK cells","Naive B cells","HLA-E","CD8A",0.047554438811346,0,"HLA-E_CD8A","HLA-E - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Platelets","Classical Monocytes","TGFB1","ACVR1_TGFbR",0.0475417557233006,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Plasma cells","Conventional Dendritic Cells","HLA-DPA1","CD4",0.0475301791544582,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Platelets","THBS1","CD47",0.0474796757104946,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Naive B cells","C1Q+ Monocytes","HLA-F","LILRB1",0.0474447427015607,0,"HLA-F_LILRB1","HLA-F - LILRB1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"C1Q+ Monocytes","Naive B cells","HLA-C","CD8A",0.0474399591209498,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Classical Monocytes","Naive B cells","THBS1","CD47",0.047320821486926,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Myeloid cells","NK cells","APP","CD74",0.047292582052902,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Gamma-delta Cytotoxic T cells","C1Q+ Monocytes","HLA-DMB","CD4",0.0472171194354602,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Conventional Dendritic Cells","HLA-DQB1","CD4",0.0471809314921377,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","Myeloid cells","NAMPT","ITGA5_ITGB1",0.0471703733238704,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Monocytes","Monocytes","HLA-DPA1","CD4",0.0471335618351041,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Regulatory / Activated CD4 T cells","Naive B cells","HLA-C","CD8A",0.047123835562978,0,"HLA-C_CD8A","HLA-C - CD8A","MHC-I","Cell-Cell Contact","KEGG: hsa04514"
"Gamma-delta Cytotoxic T cells","NK cells","HLA-C","KIR2DS4",0.0470539666151945,0,"HLA-C_KIR2DS4","HLA-C - KIR2DS4","MHC-I","Cell-Cell Contact","PMID: 28484462"
"NK-like cells","Naive B cells","HLA-E","CD94:NKG2E",0.0470011352671345,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Conventional Dendritic Cells","Conventional Dendritic Cells","HLA-DMB","CD4",0.0468133204755195,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C1Q+ Monocytes","Regulatory / Activated CD4 T cells","HLA-DRB1","CD4",0.0468113684463808,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"NK cells","Monocytes","ANXA1","FPR1",0.0467947977215561,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"C1Q+ Monocytes","C1Q+ Monocytes","HLA-DPB1","CD4",0.0467911247085591,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","NK cells","THBS1","CD47",0.046776513574772,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"Classical Monocytes","Gamma-delta Cytotoxic T cells","LGALS9","PTPRC",0.0467406523143711,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Myeloid cells","NK-like cells","THBS1","CD47",0.0466820524666833,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"NK cells","C1Q+ Monocytes","ITGB2","ICAM1",0.0466643925548068,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Conventional Dendritic Cells","Naive B cells","HLA-E","CD94:NKG2E",0.0464693968559707,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Classical Monocytes","Naive CD4 T cells","LGALS9","PTPRC",0.0464265885543568,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Monocytes","NK cells","HLA-E","CD94:NKG2C",0.0464081344461388,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Monocytes","C1Q+ Monocytes","ITGB2","ICAM1",0.0462610935847481,0,"ITGB2_ICAM1","ITGB2 - ICAM1","ITGB2","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid cells","NK-like cells","HLA-E","KLRK1",0.0462013548967341,0,"HLA-E_KLRK1","HLA-E - KLRK1","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Monocytes","FCER2","ITGAM_ITGB2",0.0459948164184678,0,"FCER2A_ITGAM_ITGB2","FCER2A - (ITGAM+ITGB2)","CD23","Cell-Cell Contact","PMID: 7621072"
"Conventional Dendritic Cells","Classical Monocytes","CD99","PILRA",0.0458505469564085,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Gamma-delta Cytotoxic T cells","Conventional Dendritic Cells","HLA-DPA1","CD4",0.0458257156359834,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Monocytes","C1Q+ Monocytes","HLA-DPB1","CD4",0.0457785376547563,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"MAIT / CD161-like T cells","NK-like cells","HLA-E","CD94:NKG2C",0.0457745306250643,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Conventional Dendritic Cells","HLA-DQB1","CD4",0.0457563651443919,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Plasma cells","NK-like cells","HLA-E","CD94:NKG2E",0.0456215166815059,0,"HLA-E_CD94:NKG2E","HLA-E - CD94:NKG2E","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","NK cells","HLA-E","CD94:NKG2C",0.0455512346487254,0,"HLA-E_CD94:NKG2C","HLA-E - CD94:NKG2C","MHC-I","Cell-Cell Contact","PMID: 28484462"
"Gamma-delta Cytotoxic T cells","Regulatory / Activated CD4 T cells","HLA-DPB1","CD4",0.0455503319561737,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
