"gene"
"IFIT2"
"FCER1A"
"PTGDS"
"IGKC"
"CCL4"
"PPBP"
"CAVIN2"
"IGLC3"
"LYPD2"
"GNLY"
"SOX5"
"CDKN1C"
"FHIP1A"
"PF4"
"HLA-DQA1"
"CD1C"
"TUBB1"
"CLU"
"FCGR3A"
"GP1BB"
"ENSG00000227240"
"LINGO2"
"CLEC10A"
"AKAP12"
"IFIT3"
"ITGB3"
"CXCL8"
"BANK1"
"GNG11"
"CCL3"
"HLA-DPB1"
"ENSG00000231424"
"CCSER1"
"MS4A1"
"HLA-DQB1"
"ENSG00000225885"
"IL1B"
"LINC01478"
"ENSG00000287092"
"GZMB"
"C1QA"
"IRF4"
"HLA-DPA1"
"MKI67"
"SERPINB2"
"LINC01374"
"KLRB1"
"IGHM"
"CCL5"
"IGHD"
"EBF1"
"AREG"
"ITGA2B"
"HLA-DRB1"
"RHEX"
"SPARC"
"AFF3"
"LINC00540"
"S100A8"
"HLA-DRA"
"TSHZ2"
"LINC02694"
"PHEX"
"PTPRS"
"COBLL1"
"NKG7"
"CXCL2"
"ZC3H12B"
"PRKAR2B"
"THBS1"
"S100A9"
"CCL4L2"
"LINC01320"
"PKIB"
"NRGN"
"HS3ST2"
"SERPINB10"
"PLXNA4"
"CD79A"
"DNASE1L3"
"GZMK"
"PAPSS2"
"FGFBP2"
"IGHV3-15"
"H1-0"
"LINC02446"
"RGS7"
"FCHSD2"
"CDH6"
"S100A12"
"RALGPS2"
"CRADD"
"XCL1"
"MET"
"TCF4"
"G0S2"
"JAKMIP2"
"SLC16A10"
"MYL9"
"FN1"
"TOX"
"COL19A1"
"FLT3"
"S100B"
"ENSG00000276241"
"H1-5"
"PCDH9"
"FOS"
"LYZ"
"ALCAM"
"SYT1"
"CCDC26"
"CXCL3"
"PPARG"
"IFNG-AS1"
"IL1R2"
"NELL2"
"TREML1"
"SCT"
"SGCD"
"IFITM3"
"GZMH"
"JCHAIN"
"CST3"
"SERPINE1"
"TDRD9"
"CLEC9A"
"NIBAN1"
"DST"
"LINC02109"
"IGHV3-49"
"DERL3"
"KCNQ5"
"ITM2C"
"IL12RB2"
"RNF144B"
"CD74"
"IFIT1"
"DACH1"
"STMN1"
"TEX14"
"VNN1"
"IL24"
"TRBV28"
"LGR4"
"EREG"
"BCAR3"
"MZB1"
"RRAD"
"GPAT3"
"EDA"
"IKZF2"
"P2RY14"
"ZMAT4"
"PLEKHG1"
"CADM1"
"ROR1"
"GPM6A"
"MSR1"
"ACSM3"
"FCRL1"
"TTN"
"GZMA"
"DLG2"
"VCAN"
"APBB2"
"BNC2"
"SLC7A11"
"PTCRA"
"LILRA4"
"HMOX1"
"SDC2"
"LINC02899"
"AKAP6"
"IGHA2"
"PLD4"
"APOBEC3A"
"NEGR1"
"ENSG00000289084"
"CCL20"
"TXNDC5"
"IGHV1-3"
"CEMIP"
"INHBA"
"CALCRL"
"ZNF804A"
"NCKAP5"
"MGLL"
"ENSG00000287682"
"CPVL"
"MS4A7"
"IFI30"
"ENSG00000227486"
"HTR1F"
"SGK1"
"RASSF6"
"LINC02506"
"PSD3"
"NEXMIF"
"ENHO"
"CRTAM"
"SDS"
"ENSG00000271955"
"CTTN"
"RGS18"
"GP9"
"MAMLD1"
"LIX1-AS1"
"TRBC1"
"TP63"
"RTKN2"
"HERC5"
"IGHV4-34"
"KHDRBS2"
"F13A1"
"IGHV3-23"
"BMP6"
"IGLC2"
"IGHE"
"AGBL4"
"ENSG00000259995"
"CUX2"
"SOX4"
"TRDC"
"C1QB"
"NCAM1"
"ENSG00000189229"
"PID1"
"SEL1L3"
"CD1E"
"CD109"
"IGLC6"
"GALNTL6"
"LST1"
"XCL2"
"CST7"
"FCRL5"
"GAB1"
"TMEM178B"
"CCR9"
"PAX5"
"KLHL4"
"OSBPL10"
"FCN1"
"COL24A1"
"LINC01505"
"MED12L"
"KRT5"
"NR4A3"
"NRCAM"
"SLC35F3"
"FGF13"
"PLEKHA5"
"RHOC"
"NTM"
"CHODL"
"SLC4A10"
"ENSG00000286540"
"LINC01934"
"SGO1-AS1"
"TYMS"
"CYSLTR2"
"C1orf54"
"KAZN"
"PPP1R9A"
"MRC1"
"CLNK"
"RET"
"AIF1"
"FAAH2"
"DTL"
"RNF152"
"MPIG6B"
"LINC00926"
"LHFPL6"
"LGALS2"
"MAFB"
"PALM2AKAP2"
"RMDN2-AS1"
"SGIP1"
"PLPP3"
"DOCK4"
"IL2RA"
"FTL"
"SERPINA1"
"DTNA"
"ZC3H12C"
"PTPRM"
"NRP1"
"CTSS"
"ATRNL1"
"CABLES1"
"PJVK"
"HULC"
"KLHL14"
"SV2C"
"OASL"
"PCBP3"
"CMTM5"
"LINC02315"
"CD8B"
"IL32"
"AXL"
"ADAM12"
"CRIP1"
"ENSG00000249738"
"C15orf48"
"DISC1FP1"
"ENSG00000273118"
"BLK"
"CD14"
"ABHD17C"
"THBD"
"CYP1B1"
"ST18"
"ADGRB3"
"CACNG2"
"MEG3"
"CD36"
"INSYN2A"
"KMO"
"LEF1"
"RAPGEF5"
"MME"
"IGHG4"
"LINC00996"
"IFNG"
"DENND5B"
"PLAUR"
"SLC8A1"
"PPP2R2B"
"FLT1"
"EPB41L3"
"CCL2"
"SH3BGRL2"
"MAP1A"
"ENSG00000286134"
"SESN3"
"INSIG1"
"CD247"
"CLEC4C"
"ENSG00000290067"
"ADAM28"
"HRK"
"HTR7"
"KLRC2"
"GPX1"
"CCDC50"
"CEBPD"
"STAP1"
"PSAP"
"NIBAN3"
"SNED1"
"CENPF"
"SCN9A"
"C12orf75"
"TFPI"
"FGFR1"
"PMAIP1"
